,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
2808,Maruti,BalenoDELTA 1.2 K12,521299,2018,Kolkata,Petrol,3688,Manual,1,11965
2809,Maruti,Alto 800LXI,714899,2013,Kolkata,Petrol,44698,Manual,1,11965
2810,Hyundai,Elite i20SPORTZ (O) 1.2,739599,2015,Kolkata,Petrol,48572,Manual,1,11965
2811,Renault,KwidRXL,710899,2019,Kolkata,Petrol,30217,Manual,1,11965
2812,Maruti,Alto 800LXI,501199,2013,Kolkata,Petrol,77564,Manual,1,14110
2813,Maruti,SwiftVXI,888099,2014,Kolkata,Petrol,22989,Manual,1,7109
2814,Hyundai,Grand i10SPORTS 1.2 VTVT,926099,2013,Kolkata,Petrol,25308,Manual,1,14982
2815,Maruti,BalenoDELTA 1.2 K12,833299,2018,Kolkata,Petrol,3331,Manual,1,8878
2816,Maruti,SwiftVXI,709499,2014,Kolkata,Petrol,92311,Manual,1,9251
2817,Hyundai,Elite i20ASTA 1.2,554799,2015,Kolkata,Petrol,57996,Manual,1,11965
2818,Maruti,Alto 800LXI,347699,2013,Kolkata,Petrol,36905,Manual,1,11965
2819,Maruti,Alto 800LXI,728299,2013,Kolkata,Petrol,35184,Manual,2,4689
2820,Maruti,SwiftVXI,1814599,2014,Kolkata,Petrol,28902,Manual,1,12799
2821,Maruti,Alto K10LXI,822999,2012,Kolkata,Petrol,60640,Manual,2,7875
2822,Maruti,SwiftZXI,617299,2014,Kolkata,Petrol,59178,Manual,1,7937
2823,Maruti,Wagon R 1.0VXI,726899,2013,Kolkata,Petrol,104992,Manual,1,7763
2824,Ford,Ecosport1.5 TITANIUM TI VCT,740899,2015,Kolkata,Petrol,34646,Manual,2,8971
2825,Maruti,Swift DzireVXI 1.2 BS IV,570599,2015,Kolkata,Petrol,4171,Manual,1,13040
2826,Maruti,SwiftVXI,606399,2019,Kolkata,Diesel,49670,Manual,3,8055
2827,Maruti,Alto K10VXI,1101599,2012,Kolkata,Petrol,51623,Manual,2,7483
2828,Hyundai,Elite i20MAGNA 1.2,788499,2015,Kolkata,Petrol,50856,Manual,1,12546
2829,Hyundai,Grand i10MAGNA 1.2 VTVT,411399,2014,Kolkata,Petrol,43421,Manual,1,11919
